Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
0,Toy Story 3,1066969703.0,"41,50,04,880",38.90%,"65,19,64,823",61.10%,2010
1,Alice in Wonderland,1025467110.0,"33,41,91,110",32.60%,"69,12,76,000",67.40%,2010
2,Harry Potter and the Deathly Hallows: Part 1,960283305.0,"29,59,83,305",30.80%,"66,43,00,000",69.20%,2010
3,Inception,828258695.0,"29,25,76,195",35.30%,"53,56,82,500",64.70%,2010
4,Shrek Forever After,752600867.0,"23,87,36,787",31.70%,"51,38,64,080",68.30%,2010
5,The Twilight Saga: Eclipse,698491347.0,"30,05,31,751",43%,"39,79,59,596",57%,2010
6,Iron Man 2,623933331.0,"31,24,33,331",50.10%,"31,15,00,000",49.90%,2010
7,Tangled,592461732.0,"20,08,21,936",33.90%,"39,16,39,796",66.10%,2010
8,Despicable Me,543239815.0,"25,16,39,815",46.30%,"29,16,00,000",53.70%,2010
9,How to Train Your Dragon,494878759.0,"21,75,81,231",44%,"27,72,97,528",56%,2010
10,Clash of the Titans,493214993.0,"16,32,14,888",33.10%,"33,00,00,105",66.90%,2010
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217.0,"10,43,86,950",25.10%,"31,12,99,267",74.90%,2010
12,The King's Speech,412018551.0,"13,54,53,143",32.90%,"27,65,65,408",67.10%,2010
13,Tron: Legacy,400062763.0,"17,20,62,763",43%,"22,80,00,000",57%,2010
14,The Karate Kid,359126022.0,"17,65,91,618",49.20%,"18,25,34,404",50.80%,2010
15,Black Swan,329398046.0,"10,69,54,678",32.50%,"22,24,43,368",67.50%,2010
16,Megamind,321885765.0,"14,84,15,853",46.10%,"17,34,69,912",53.90%,2010
17,Robin Hood,321669741.0,"10,52,69,730",32.70%,"21,64,00,011",67.30%,2010
18,The Last Airbender,319713881.0,"13,17,72,187",41.20%,"18,79,41,694",58.80%,2010
19,Little Fockers,310650585.0,"14,84,38,600",47.80%,"16,22,11,985",52.20%,2010
20,Resident Evil: Afterlife,300228084.0,"6,01,28,566",20%,"24,00,99,518",80%,2010
21,Shutter Island,294804195.0,"12,80,12,934",43.40%,"16,67,91,261",56.60%,2010
22,Salt,293503354.0,"11,83,11,368",40.30%,"17,51,91,986",59.70%,2010
23,Sex and the City 2,290745055.0,"9,53,47,692",32.80%,"19,53,97,363",67.20%,2010
24,The Tourist,278780441.0,"6,76,31,157",24.30%,"21,11,49,284",75.70%,2010
25,The Expendables,274470394.0,"10,30,68,524",37.60%,"17,14,01,870",62.40%,2010
26,Grown Ups,271430189.0,"16,20,01,186",59.70%,"10,94,29,003",40.30%,2010
27,Knight and Day 2010 Re0release,261930436.0,"7,64,23,035",29.20%,"18,55,07,401",70.80%,2010
28,True Grit,252276927.0,"17,12,43,005",67.90%,"8,10,33,922",32.10%,2010
29,Gulliver's Travels,237382724.0,"4,27,79,261",18%,"19,46,03,463",82%,2010
30,Percy Jackson & the Olympians: The Lightning Thief,226497209.0,"8,87,68,303",39.20%,"13,77,28,906",60.80%,2010
31,The Social Network,224920315.0,"9,69,62,694",43.10%,"12,79,57,621",56.90%,2010
32,Valentine's Day,216485654.0,"11,04,85,654",51%,"10,60,00,000",49%,2010
33,The Sorcerer's Apprentice,215283742.0,"6,31,50,991",29.30%,"15,21,32,751",70.70%,2010
34,Due Date,211780824.0,"10,05,39,043",47.50%,"11,12,41,781",52.50%,2010
35,Eat Pray Love,204594016.0,"8,05,74,010",39.40%,"12,40,20,006",60.60%,2010
36,Yogi Bear,203509374.0,"10,02,46,011",49.30%,"10,32,63,363",50.70%,2010
37,RED,199006387.0,"9,03,80,162",45.40%,"10,86,26,225",54.60%,2010
38,Paranormal Activity 2,177512032.0,"8,47,52,907",47.70%,"9,27,59,125",52.30%,2010
39,The A0Team,177238796.0,"7,72,22,099",43.60%,"10,00,16,697",56.40%,2010
40,Jackass 3D,171685792.0,"11,72,29,692",68.30%,"5,44,56,100",31.70%,2010
41,The Other Guys,170458922.0,"11,92,19,978",69.90%,"5,12,38,944",30.10%,2010
42,Unstoppable,167805466.0,"8,15,62,942",48.60%,"8,62,42,524",51.40%,2010
43,Step Up 3D,159291809.0,"4,24,00,223",26.60%,"11,68,91,586",73.40%,2010
44,The Book of Eli,157107755.0,"9,48,35,059",60.40%,"6,22,72,696",39.60%,2010
45,The Town,154026136.0,"9,21,86,262",59.90%,"6,18,39,874",40.10%,2010
46,Date Night,152263880.0,"9,87,11,404",64.80%,"5,35,52,476",35.20%,2010
47,The Secret World of Arrietty,148979794.0,"1,92,02,743",12.90%,"12,97,77,051",87.10%,2010
48,Legend of the Guardians: The Owls of Ga'Hoole,140073390.0,"5,56,75,313",39.70%,"8,43,98,077",60.30%,2010
49,The Wolfman,139789765.0,"6,19,79,680",44.30%,"7,78,10,085",55.70%,2010
50,The Bounty Hunter,136333522.0,"6,70,61,228",49.20%,"6,92,72,294",50.80%,2010
51,Saw 3D,136150434.0,"4,57,10,178",33.60%,"9,04,40,256",66.40%,2010
52,Wall Street: Money Never Sleeps,134748021.0,"5,24,74,616",38.90%,"8,22,73,405",61.10%,2010
53,The Adjustment Bureau,127869379.0,"6,24,95,645",48.90%,"6,53,73,734",51.10%,2010
54,Predators,127233108.0,"5,20,00,688",40.90%,"7,52,32,420",59.10%,2010
55,A Nightmare on Elm Street,115694863.0,"6,30,75,011",54.50%,"5,26,19,852",45.50%,2010
56,Dear John,114991723.0,"8,00,14,842",69.60%,"3,49,69,824",30.40%,2010
57,Cats & Dogs: The Revenge of Kitty Galore,112483764.0,"4,35,85,753",38.70%,"6,88,98,011",61.30%,2010
58,Tooth Fairy,112462508.0,"6,00,22,256",53.40%,"5,24,40,252",46.60%,2010
59,Sanctum,108609310.0,"2,32,09,310",21.40%,"8,54,00,000",78.60%,2010
60,Harmony,107056263.0,0,0,"10,70,56,263",100%,2010
61,Hereafter,106956330.0,"3,27,46,941",30.60%,"7,42,09,389",69.40%,2010
62,Life as We Know It,105734416.0,"5,33,74,681",50.50%,"5,23,59,735",49.50%,2010
63,Let the Bullets Fly,104723314.0,"63,012",0,"10,46,60,302",99.90%,2010
64,Love & Other Drugs,102820008.0,"3,23,67,005",31.50%,"7,04,53,003",68.50%,2010
65,Aftershock,100293273.0,"62,962",0,"10,02,30,311",99.90%,2010
66,Umizaru 3: The Last Message,98663381.0,0,0,"9,86,63,381",100%,2010
67,Killers,98159963.0,"4,70,59,963",47.90%,"5,11,00,000",52.10%,2010
68,Kick0Ass,96188903.0,"4,80,71,303",50%,"4,81,17,600",50%,2010
69,Nanny McPhee Returns,93251121.0,"2,90,11,215",31.10%,"6,42,39,906",68.90%,2010
70,Get Him to the Greek,91720255.0,"6,09,74,475",66.50%,"3,07,45,780",33.50%,2010
71,Burlesque,89519773.0,"3,94,40,655",44.10%,"5,00,79,118",55.90%,2010
72,The Last Song,89137047.0,"6,29,50,384",70.60%,"2,61,86,663",29.40%,2010
73,Dinner for Schmucks,86855739.0,"7,30,26,337",84.10%,"1,38,29,402",15.90%,2010
74,Bayside Shakedown 3: Set the Guys Loose,85347374.0,0,0,"8,53,47,374",100%,2010
75,Marmaduke,83761844.0,"3,36,44,788",40.20%,"5,01,17,056",59.80%,2010
76,Piranha 3D,83188165.0,"2,50,03,155",30.10%,"5,81,85,010",69.90%,2010
77,Oceans,83090556.0,"1,94,22,319",23.40%,"6,36,68,237",76.60%,2010
78,Blades of Blood 2010 Re0release,82177196.0,0,0,"8,21,77,196",100%,2010
79,Edge of Darkness,81126522.0,"4,33,13,890",53.40%,"3,78,12,632",46.60%,2010
80,Vampires Suck,80547866.0,"3,66,61,504",45.50%,"4,38,86,362",54.50%,2010
81,Letters to Juliet,79293444.0,"5,30,32,453",66.90%,"2,62,60,991",33.10%,2010
82,The Back0up Plan,77477008.0,"3,74,90,007",48.40%,"3,99,87,001",51.60%,2010
83,Diary of a Wimpy Kid,76196538.0,"6,40,03,625",84%,"1,21,92,913",16%,2010
84,If You Are the One 2,76085443.0,"4,26,894",0.60%,"7,56,58,549",99.40%,2010
85,Easy A,75026216.0,"5,84,01,464",77.80%,"1,66,24,752",22.20%,2010
86,Hubble,74249729.0,"5,25,22,904",70.70%,"2,17,26,825",29.30%,2010
87,Pokémon: Zoroark: Master of Illusions,71143529.0,0,0,"7,11,43,529",100%,2010
88,A Turtle's Tale: Sammy's Adventures,70627617.0,0,0,"7,06,27,617",100%,2010
89,The Last Exorcism,69432527.0,"4,10,34,350",59.10%,"2,83,98,177",40.90%,2010
90,Takers,69055695.0,"5,77,44,720",83.60%,"1,13,10,975",16.40%,2010
91,Bestseller,68813389.0,0,0,"6,88,13,389",100%,2010
92,Legion,67918658.0,"4,01,68,080",59.10%,"2,77,50,578",40.90%,2010
93,The American,67876281.0,"3,56,06,376",52.50%,"3,22,69,905",47.50%,2010
